category,자연어 질의,sql_pattern_oracle,tables_used,join_keys,notes
fast_<=5s,보험 종류별로 입원 환자 수가 어떻게 되는지 알려줘. 많은 순으로 20개만 보여줘.,"SELECT
  a.insurance,
  COUNT(*) AS hadm_cnt
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
GROUP BY a.insurance
ORDER BY hadm_cnt DESC
FETCH FIRST 20 ROWS ONLY;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,admissions 범주형 분포(Top-N)
fast_<=5s,"인종/민족별로 입원 환자 수를 세어서, 많은 순으로 30개만 보여줘.","SELECT
  a.race,
  COUNT(*) AS hadm_cnt
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
GROUP BY a.race
ORDER BY hadm_cnt DESC
FETCH FIRST 30 ROWS ONLY;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,admissions 범주형 분포(Top-N)
fast_<=5s,입원 환자 중에 결혼 상태(marital_status)별로 입원 건수가 얼마나 되는지 많은 순으로 알려줘.,"SELECT
  a.marital_status,
  COUNT(*) AS hadm_cnt
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
GROUP BY a.marital_status
ORDER BY hadm_cnt DESC
FETCH FIRST 20 ROWS ONLY;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,admissions 범주형 분포(Top-N)
fast_<=5s,"입원한 환자중에서 언어별로 입원 건수를 세고, 많은 순으로 상위 20개를 보여줘","SELECT
  a.language,
  COUNT(*) AS hadm_cnt
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
GROUP BY a.language
ORDER BY hadm_cnt DESC
FETCH FIRST 20 ROWS ONLY;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,admissions 범주형 분포(Top-N)
fast_<=5s,"입원 유형(응급/예약/기타)별로 입원 건수를 집계해서, 많은 순으로 20개만 보여줘.","SELECT
  a.admission_type,
  COUNT(*) AS hadm_cnt
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
GROUP BY a.admission_type
ORDER BY hadm_cnt DESC
FETCH FIRST 20 ROWS ONLY;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,admissions 범주형 분포(Top-N)
fast_<=5s,"환자가 어디에서/어떤 경로로 입원했는지(입원 경로)별로 입원 건수를 세고, 많은 순으로 20개 보여줘","SELECT
  a.admission_location,
  COUNT(*) AS hadm_cnt
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
GROUP BY a.admission_location
ORDER BY hadm_cnt DESC
FETCH FIRST 20 ROWS ONLY;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,admissions 범주형 분포(Top-N)
fast_<=5s,"퇴원할 때 환자가 어디로 갔는지(퇴원 장소/퇴원 형태)별로 입원 건수를 세고, 많은 순으로 20개 보여줘","SELECT
  a.discharge_location,
  COUNT(*) AS hadm_cnt
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
GROUP BY a.discharge_location
ORDER BY hadm_cnt DESC
FETCH FIRST 20 ROWS ONLY;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,admissions 범주형 분포(Top-N)
fast_<=5s,연령대 구간(18세-39세/40세-64세/65세 이상)별 입원 건수를 집계해줘.,"SELECT
  CASE
    WHEN p.anchor_age BETWEEN 18 AND 39 THEN '18-39'
    WHEN p.anchor_age BETWEEN 40 AND 64 THEN '40-64'
    WHEN p.anchor_age >= 65 THEN '65+'
    ELSE 'UNKNOWN'
  END AS age_band,
  COUNT(DISTINCT a.hadm_id) AS hadm_cnt
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
GROUP BY
  CASE
    WHEN p.anchor_age BETWEEN 18 AND 39 THEN '18-39'
    WHEN p.anchor_age BETWEEN 40 AND 64 THEN '40-64'
    WHEN p.anchor_age >= 65 THEN '65+'
    ELSE 'UNKNOWN'
  END
ORDER BY hadm_cnt DESC;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,코호트 기술통계(연령대)
fast_<=5s,"나이대(18세–39세, 40세–64세, 65세 이상)별로 입원 중 사망한 비율(병원 사망률)을 알려줘.","SELECT
  CASE
    WHEN p.anchor_age BETWEEN 18 AND 39 THEN '18-39'
    WHEN p.anchor_age BETWEEN 40 AND 64 THEN '40-64'
    WHEN p.anchor_age >= 65 THEN '65+'
    ELSE 'UNKNOWN'
  END AS age_band,
  COUNT(*) AS hadm_cnt,
  AVG(a.hospital_expire_flag) AS hosp_mortality_rate
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
GROUP BY
  CASE
    WHEN p.anchor_age BETWEEN 18 AND 39 THEN '18-39'
    WHEN p.anchor_age BETWEEN 40 AND 64 THEN '40-64'
    WHEN p.anchor_age >= 65 THEN '65+'
    ELSE 'UNKNOWN'
  END
ORDER BY age_band;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,평균(0/1)=비율
fast_<=5s,입원 유형(응급/예약/긴급 등)별로 병원 사망률이 어떻게 다른지 알려줘.,"SELECT
  a.admission_type,
  COUNT(*) AS hadm_cnt,
  AVG(a.hospital_expire_flag) AS hosp_mortality_rate
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
GROUP BY a.admission_type
ORDER BY hosp_mortality_rate DESC
FETCH FIRST 20 ROWS ONLY;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,Top-N 비교
fast_<=5s,응급으로 입원한 환자 수가 월별로 어떻게 변했는지 알려줘.,"SELECT
  TRUNC(a.admittime, 'MM') AS admit_month,
  COUNT(*) AS hadm_cnt
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
WHERE a.admission_type = 'EMERGENCY'
GROUP BY TRUNC(a.admittime, 'MM')
ORDER BY admit_month
FETCH FIRST 120 ROWS ONLY;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,월별 추이
fast_<=5s,예약(선택) 입원한 환자 수가 월별로 어떻게 변했는지 알려줘.,"SELECT
  TRUNC(a.admittime, 'MM') AS admit_month,
  COUNT(*) AS hadm_cnt
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
WHERE a.admission_type = 'ELECTIVE'
GROUP BY TRUNC(a.admittime, 'MM')
ORDER BY admit_month
FETCH FIRST 120 ROWS ONLY;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,월별 추이
