category,자연어 질의,sql_pattern_oracle,tables_used,join_keys,notes,SQL 실행결과,
cohort,"중환자실에 들어간 성인 환자들에 대해, 해당 입원과 ICU 입실 기록 목록을 뽑아줘.","SELECT
  a.subject_id,
  a.hadm_id,
  i.stay_id,
  p.anchor_age,
  a.admittime,
  a.dischtime,
  i.intime,
  i.outtime
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
JOIN SSO.ICUSTAYS i
  ON i.hadm_id = a.hadm_id
WHERE p.anchor_age >= 18;",SSO.ADMISSIONS;SSO.PATIENTS;SSO.ICUSTAYS,subject_id;hadm_id,연령은 patients.anchor_age 사용(버전에 따라 core/hosp 위치가 다를 수 있음).,,
cohort,"성인 환자만 대상으로 해서, 환자마다 첫 번째 입원 기록만 남겨서 코호트를 만들어줘.","WITH first_admit AS (
  SELECT subject_id, MIN(admittime) AS first_admittime
  FROM SSO.ADMISSIONS
  GROUP BY subject_id
)
SELECT
  a.subject_id,
  a.hadm_id,
  a.admittime,
  a.dischtime,
  p.anchor_age
FROM SSO.ADMISSIONS a
JOIN first_admit f
  ON f.subject_id = a.subject_id
 AND f.first_admittime = a.admittime
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
WHERE p.anchor_age >= 18;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,동일 환자 다수 입원 중 최초 입원만 선택.,,
cohort,각 입원에 대해 퇴원 후 30일 안에 다시 입원했는지(30일 재입원) 표시해줘.,"SELECT
  a1.hadm_id,
  a1.subject_id,
  CASE WHEN EXISTS (
    SELECT 1
    FROM SSO.ADMISSIONS a2
    WHERE a2.subject_id = a1.subject_id
      AND a2.admittime BETWEEN a1.dischtime AND a1.dischtime + 30
      AND a2.hadm_id <> a1.hadm_id
  ) THEN 1 ELSE 0 END AS readmit_30d_flag
FROM SSO.ADMISSIONS a1;",SSO.ADMISSIONS,subject_id,같은 테이블 self-reference(별칭 a1/a2)로 후속 입원 존재 여부 확인.,,
cohort,병원에 7일 이상 입원했던 케이스만 포함해줘,"SELECT
  hadm_id,
  subject_id,
  admittime,
  dischtime
FROM SSO.ADMISSIONS
WHERE dischtime >= admittime + 7;",SSO.ADMISSIONS,hadm_id,Oracle/DB에 따라 날짜 덧셈 단위(일) 확인 필요.,,
cohort,"한 입원 안에 중환자실 입원기록이 여러 개면, 그중 첫 번째 중환자실 입원기록만 남겨줘.","WITH ranked AS (
  SELECT
    hadm_id,
    stay_id,
    intime,
    outtime,
    ROW_NUMBER() OVER (PARTITION BY hadm_id ORDER BY intime) AS rn
  FROM SSO.ICUSTAYS
)
SELECT hadm_id, stay_id, intime, outtime
FROM ranked
WHERE rn = 1;",SSO.ICUSTAYS,hadm_id,입원당 ICU stay가 여러 개인 경우 대표 stay를 선택하는 패턴.,,
cohort,입원 경로 기반으로 응급실에서 들어온 입원만 뽑아줘,"SELECT
  hadm_id,
  subject_id,
  admittime,
  admission_location
FROM SSO.ADMISSIONS
WHERE LOWER(admission_location) LIKE '%emergency%';",SSO.ADMISSIONS,hadm_id,admission_location 값은 기관/버전 따라 다를 수 있어 LIKE로 시작.,,
cohort,최종 코호트에서 성별(남/여) 분포를 집계해줘,"SELECT
  p.gender,
  COUNT(DISTINCT a.hadm_id) AS hadm_cnt
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
GROUP BY p.gender;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,성별은 patients.gender.,,
cohort,입원 중 담당 진료과가 내과인 경우만 포함해줘.,"SELECT
  a.hadm_id,
  a.subject_id,
  s.transfertime,
  s.curr_service
FROM SSO.ADMISSIONS a
JOIN SSO.SERVICES s
  ON s.hadm_id = a.hadm_id
WHERE s.curr_service = 'MED';",SSO.ADMISSIONS;SSO.SERVICES,hadm_id,services는 입원 중 진료과/서비스 변화 추적에 사용.,,
cohort,특정 진단코드가 있는 입원만 골라서 코호트를 만들고 싶어(예: I50% 심부전).,"SELECT DISTINCT
  d.hadm_id,
  d.subject_id,
  d.icd_code,
  d.icd_version
FROM SSO.DIAGNOSES_ICD d
WHERE d.icd_code LIKE 'I50%';",SSO.DIAGNOSES_ICD,hadm_id;subject_id,ICD-9/10 혼재 가능 -> icd_version 확인 권장.,,
cohort,"신생아/소아는 제외하고, 성인만 남겨줘.","SELECT
  a.hadm_id,
  a.subject_id,
  p.anchor_age
FROM SSO.ADMISSIONS a
JOIN SSO.PATIENTS p
  ON p.subject_id = a.subject_id
WHERE p.anchor_age >= 18;",SSO.ADMISSIONS;SSO.PATIENTS,subject_id,MIMIC-IV는 de-id를 위해 anchor_age를 사용.,,
